,Age,Industry,Job title,Annual Salary(USDA),Working In,City,Years of Experience,Present Field Experience,Education,Gender,Race
18699,35-44,Law,Legal Secretary,37800,Australia,Melbourne ,11 - 20 years,2 - 4 years,College degree,Woman,White
18700,35-44,Insurance,Claims adjuster,57158,United states,Renton ,11 - 20 years,2 - 4 years,College degree,Woman,White
18701,35-44,Hospitality & Events,Human Resources Generalist,55000,United states,College Park,11 - 20 years,2 - 4 years,Master's degree,Woman,White
18702,25-34,Computing or Tech,Software Team Lead,72325,United kingdom,Edinburgh,11 - 20 years,11 - 20 years,Master's degree,Man,White
18703,35-44,Law Enforcement & Security,HR Generalist,48000,United states,Savannah,11 - 20 years,1 year or less,College degree,Woman,White
18704,18-24,Computing or Tech,SOC Analyst,60000,United states,Akron,2 - 4 years,2 - 4 years,College degree,Woman,White
18705,55-64,Nonprofits,Office Manager,37000,United states,Ottawa,41 years or more,11 - 20 years,Some college,Woman,Another option not listed here or prefer not to answer
18706,55-64,Health care,Physician Recruiter ,80000,United states,Harrisburg ,21 - 30 years,5-7 years,College degree,Man,White
18707,35-44,Retail,Internal Communications Manager,100000,United states,Philadelphia,11 - 20 years,5-7 years,College degree,Man,White
18708,25-34,Education (Higher Education),Administrative Manager,55000,United states,Boston,8 - 10 years,5-7 years,College degree,Non-binary,White
18709,35-44,Health care,Grant Manager,62000,United states,New York,5-7 years,5-7 years,Master's degree,Non-binary,"Hispanic, Latino, or Spanish origin, White"
18710,25-34,Computing or Tech,Senior Program Manager,170000,United states,Mountain View,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American
18711,45-54,Education (Higher Education),Associate Professor,96850,United kingdom,London,11 - 20 years,11 - 20 years,PhD,Woman,White
18712,35-44,Education (Higher Education),Electronic Resources Librarian,49000,United states,Amarillo,11 - 20 years,11 - 20 years,Master's degree,Man,White
18713,35-44,Media & Digital,Production Coordinator ,120120,United states,Chicago ,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
18714,18-24,Computing or Tech,Software Engineer,91635,United kingdom,Toronto,1 year or less,1 year or less,College degree,Woman,Asian or Asian American
18715,45-54,Retail,HR Specialist,52000,United states,Orlando,31 - 40 years,11 - 20 years,Some college,Woman,White
18716,25-34,Government and Public Administration,Senior Cloud Engineer,135000,United states,Syracuse,5-7 years,5-7 years,College degree,Man,White
18717,35-44,Computing or Tech,Senior Software Developer,93000,United states,Grand Rapids,11 - 20 years,11 - 20 years,College degree,Man,White
18718,35-44,Education (Higher Education),Photo editor,50287,United kingdom,Toronto,21 - 30 years,2 - 4 years,College degree,Man,Asian or Asian American
18719,35-44,Computing or Tech,Security Engineer,130000,United states,Remote,8 - 10 years,8 - 10 years,College degree,Man,White
18720,35-44,Education (Higher Education),Assistant Professor,98931,United states,Athens,5-7 years,5-7 years,PhD,Man,White
18721,25-34,"Marketing, Advertising & PR",Paid Media Lead,66150,Australia,Sydney,11 - 20 years,5-7 years,Master's degree,Man,White
18722,35-44,"Accounting, Banking & Finance",Payroll Supervisor ,83000,United states,Bethesda,11 - 20 years,11 - 20 years,Master's degree,Woman,Black or African American
18723,45-54,Food & Beverage,HR Manager,67000,United states,Austin,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
18724,35-44,Recruitment or HR,Director of Human Resources,107350,United states,Richmond,11 - 20 years,11 - 20 years,Master's degree,Woman,White
18725,35-44,Computing or Tech,UX Designer ,125000,United states,Cambridge ,11 - 20 years,2 - 4 years,Master's degree,Woman,White
18726,45-54,Business or Consulting,Human Resources Director,140000,United states,Atlanta,21 - 30 years,11 - 20 years,College degree,Woman,White
18727,35-44,Government and Public Administration,Archaeologist,40000,United states,Midwest region,11 - 20 years,2 - 4 years,Master's degree,Woman,White
18728,25-34,Recruitment or HR,Human Resources Business Partner ,73000,United states,Dallas,8 - 10 years,8 - 10 years,Some college,Woman,"Hispanic, Latino, or Spanish origin, White"
18729,25-34,Recruitment or HR,HR Coordinator,60000,United states,"Piscataway, NJ",8 - 10 years,5-7 years,Master's degree,Woman,White
18730,25-34,Education (Higher Education),Assistant Director,58000,United states,Atlanta,8 - 10 years,2 - 4 years,College degree,Woman,"Black or African American, White"
18731,25-34,Automotive Repair,Office Manager,39520,United states,Queen Creek,11 - 20 years,11 - 20 years,Some college,Woman,White
18732,55-64,Education (Higher Education),Librarian,80784,Ireland,Dublin,21 - 30 years,21 - 30 years,Master's degree,Man,White
18733,35-44,Government and Public Administration,Senior physical scientist,120000,United states,Washington,8 - 10 years,2 - 4 years,PhD,Man,White
18734,35-44,Computing or Tech,Solutions Architect,157000,United states,"Washington, DC",21 - 30 years,21 - 30 years,Some college,Man,White
18735,55-64,Recruitment or HR,HR Manager,152000,United states,Katy,21 - 30 years,21 - 30 years,College degree,Woman,White
18736,35-44,Government and Public Administration,assistant,44000,United states,port st lucie,21 - 30 years,5-7 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
18737,25-34,"Accounting, Banking & Finance",Senior Compliance Manager,113400,Australia,Sydney,8 - 10 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
18738,25-34,"Accounting, Banking & Finance",Payroll Senior,34190,United kingdom,Manchester,8 - 10 years,5-7 years,Master's degree,Woman,White
18739,25-34,"Marketing, Advertising & PR",Content Strategist,120000,United states,"Washington, DC",5-7 years,5-7 years,College degree,Woman,White
18740,35-44,Computing or Tech,Product Manager,83440,United kingdom,Toronto,11 - 20 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
18741,35-44,Education (Higher Education),Director of distance learning,72000,United states,Dallas,11 - 20 years,11 - 20 years,Master's degree,Woman,White
18742,35-44,Health care,Dietitian,50000,United states,Nassau,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American
18743,45-54,Nonprofits,"Senior Vice President, Human Resources",118000,United states,Springfield,11 - 20 years,11 - 20 years,Some college,Woman,White
18744,35-44,Government and Public Administration,Deputy Director,101320,United kingdom,Ottawa,11 - 20 years,11 - 20 years,Master's degree,Man,Another option not listed here or prefer not to answer
18745,35-44,Computing or Tech,Senior Manager of Software Engineering,185000,United states,NYC,8 - 10 years,5-7 years,Master's degree,Man,White
18746,25-34,Nonprofits,Executive Director,90000,United states,New York City,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,White
18747,25-34,Nonprofits,Country Support Manager,82583,Ghana,Accra,8 - 10 years,8 - 10 years,College degree,Woman,White
18748,35-44,Business or Consulting,Managing Consultant,150000,United states,"Washington, DC",8 - 10 years,5-7 years,PhD,Woman,White
18749,25-34,Art & Design,Visual Designer,60000,United states,Seattle,2 - 4 years,1 year or less,Some college,Woman,"Hispanic, Latino, or Spanish origin"
18750,35-44,Education (Higher Education),Librarian,72900,United states,Rochester,11 - 20 years,11 - 20 years,Master's degree,Woman,White
18751,55-64,"Accounting, Banking & Finance",Administrative Assistant II,64500,United states,Horsham ,11 - 20 years,8 - 10 years,High School,Woman,White
18752,25-34,Computing or Tech,Software Engineer,80000,United states,Lake Mary,2 - 4 years,2 - 4 years,College degree,Man,Asian or Asian American
18753,25-34,Nonprofits,Director of Education and Public Engagement,50000,United states,Indianapolis,8 - 10 years,5-7 years,Master's degree,Woman,White
18754,25-34,"Marketing, Advertising & PR",Digital Marketing Specialist,80000,United states,White Plains,11 - 20 years,8 - 10 years,College degree,Woman,"Black or African American, White"
18755,35-44,Computing or Tech,Director of engineering ,185000,United states,My house,11 - 20 years,11 - 20 years,College degree,Man,White
18756,35-44,Social Work,Clinician ,57000,United states,Boston ,8 - 10 years,5-7 years,Master's degree,Man,White
18757,25-34,Business or Consulting,Associate Consultant ,88000,United states,Boston,2 - 4 years,2 - 4 years,College degree,Man,White
18758,35-44,Business or Consulting,HR Advisor,65000,United states,Tulsa,8 - 10 years,8 - 10 years,College degree,Woman,White
18759,35-44,Nonprofits,Institutional Giving Officer,63000,United states,New York,11 - 20 years,5-7 years,College degree,Woman,White
18760,35-44,Computing or Tech,Technical Expert,50000,United states,Greensboro,11 - 20 years,5-7 years,College degree,Man,White
18761,35-44,Computing or Tech,Software Engineer in Test,110000,United states,Minneapolis,11 - 20 years,5-7 years,College degree,Man,White
18762,35-44,Computing or Tech,Principle SRE,150000,United states,Cambridge / Remote,21 - 30 years,21 - 30 years,Some college,Man,White
18763,25-34,Computing or Tech,Engineering Manager,121637,United kingdom,London,2 - 4 years,2 - 4 years,College degree,Man,White
18764,25-34,Computing or Tech,Senior Software Developer,160000,United states,Atlanta,11 - 20 years,5-7 years,Some college,Man,White
18765,18-24,Commercial Real Estate,Analyst,75000,United states,Atlanta,1 year or less,1 year or less,College degree,Woman,White
18766,35-44,Nonprofits,Chief Talent Officer,182000,United states,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Non-binary,White
18767,35-44,Computing or Tech,Staff Software Engineer,175000,United states,East Lansing,11 - 20 years,11 - 20 years,College degree,Man,White
18768,25-34,Nonprofits,Intake officer,44100,Australia,"Adelaide, South Australia",8 - 10 years,2 - 4 years,College degree,Woman,White
18769,25-34,Computing or Tech,Technician ,55000,United states,Indianapolis,2 - 4 years,2 - 4 years,Master's degree,Man,White
18770,25-34,Health care,Human Resources Specialist,50336,United states,Chesterfield ,5-7 years,2 - 4 years,Master's degree,Woman,White
18771,35-44,Computing or Tech,"Manager, Developer Evangelism",186250,United kingdom,Ottawa,21 - 30 years,21 - 30 years,College degree,Man,White
18772,25-34,Aerospace and Defense/Government Contracting,HR Generalist,52000,United states,Colorado Springs,5-7 years,2 - 4 years,College degree,Woman,White
18773,18-24,"Accounting, Banking & Finance",Audit Associate,54000,United states,Rochester,2 - 4 years,2 - 4 years,Master's degree,Woman,White
18774,25-34,Recruitment or HR,HRIS Analyst Associate,50000,United states,Knoxville,2 - 4 years,2 - 4 years,College degree,Woman,White
18775,25-34,"Accounting, Banking & Finance",Email Marketing Manager,90000,United states,Charlotte,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
18776,35-44,"Accounting, Banking & Finance",Project Manager ,92500,United states,Chicago ,21 - 30 years,21 - 30 years,College degree,Man,White
18777,25-34,"Marketing, Advertising & PR",Brand Manager,90000,United states,Chicago,5-7 years,5-7 years,College degree,Woman,White
18778,45-54,Education (Higher Education),Librarian,70000,United states,Denton,11 - 20 years,8 - 10 years,Master's degree,Woman,White
18779,35-44,Law,Legal Executive,42080,United kingdom,Durham,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
18780,25-34,"Accounting, Banking & Finance",Investment specialist,43700,United states,Springfield,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
18781,25-34,Survey Research/Public Policy Research,Assistant to the Director,76000,United states,Hamden,5-7 years,5-7 years,College degree,Woman,White
18782,25-34,Law,In-House Counsel,100000,United states,Cleveland,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
18783,45-54,Business or Consulting,Director of Human Resources ,120000,United states,New Orleans ,21 - 30 years,21 - 30 years,Some college,Woman,White
18784,18-24,Recruitment or HR,People Services Manager,52000,United states,Crystal Lake,1 year or less,1 year or less,College degree,Woman,White
18785,45-54,Media & Digital,Senior Developer,80000,United states,Oklahoma City,21 - 30 years,11 - 20 years,College degree,Man,White
18786,25-34,"Accounting, Banking & Finance",Compliance Analyst,39270,Ireland,Dublin ,2 - 4 years,2 - 4 years,College degree,Woman,White
18787,25-34,"Accounting, Banking & Finance",HR Manager,57000,United states,Saginaw ,11 - 20 years,8 - 10 years,College degree,Woman,White
18788,25-34,Government and Public Administration,Administrative assistant ,34000,United states,Lincoln,8 - 10 years,8 - 10 years,Some college,Woman,White
18789,35-44,Insurance,Information Security Engineer,100000,United states,"Buffalo, NY",21 - 30 years,11 - 20 years,Master's degree,Woman,White
18790,25-34,Computing or Tech,Senior Product Designer ,81950,United kingdom,Toronto ,2 - 4 years,2 - 4 years,College degree,Woman,Black or African American
18791,25-34,Health care,Care Worker,36820,United kingdom,Isle of Lewis,5-7 years,5-7 years,Some college,Woman,White
18792,18-24,Retail,Worker,24000,United states,Somerville /Cambridge ,2 - 4 years,2 - 4 years,College degree,Woman,White
18793,35-44,"Marketing, Advertising & PR",Director,100000,United states,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
18794,35-44,Education (Higher Education),Admissions Coordinator ,34132,United states,Columbus,11 - 20 years,5-7 years,Master's degree,Man,Black or African American
18795,35-44,Business or Consulting,Specialst,64000,United states,Minneapolis,11 - 20 years,11 - 20 years,College degree,Woman,White
18796,35-44,Law,Corporate counsel,130000,United states,Red bank,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White
18797,35-44,Education (Higher Education),"Manager, Access Services",39485,United kingdom,Halifax,11 - 20 years,8 - 10 years,College degree,Man,White
18798,35-44,Law,Senior counsel,200000,United states,Chicago,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
18799,35-44,Government and Public Administration,Urban planner ,59700,United states,New York City,5-7 years,2 - 4 years,Master's degree,Woman,White
18800,25-34,Agriculture or Forestry,Hr director ,113000,United states,Danbury,11 - 20 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer
18801,35-44,Sales,Senior Sales Engineer,122925,United kingdom,Gatineau,11 - 20 years,11 - 20 years,College degree,Man,White
18802,25-34,"Marketing, Advertising & PR",Strategy Director ,107500,United states,Washington DC,8 - 10 years,8 - 10 years,College degree,Woman,White
18803,35-44,Government and Public Administration,Education Program Specialist,77000,United states,Columbus,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
18804,35-44,"Accounting, Banking & Finance",HR and Benefits Manager,82500,United states,Greenville,11 - 20 years,8 - 10 years,College degree,Woman,White
18805,45-54,Recruitment or HR,HR Director ,170000,United states,Las Vegas ,21 - 30 years,21 - 30 years,Some college,Woman,White
18806,35-44,Recruitment or HR,HR Manager,86000,United states,Boston,5-7 years,5-7 years,College degree,Woman,White
18807,35-44,Sales,Sales Engineering Manager,206500,United states,Boston,11 - 20 years,11 - 20 years,College degree,Man,White
18808,18-24,Law,Paralegal,32875,United kingdom,Bristol,5-7 years,2 - 4 years,High School,Woman,White
18809,35-44,Law,Associate General Counsel,78685,United states,Columbus,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
18810,25-34,Computing or Tech,character artist,94615,United kingdom,montreal,11 - 20 years,8 - 10 years,Some college,Woman,White
18811,18-24,Computing or Tech,Software Engineer,67000,United states,Iowa City,2 - 4 years,2 - 4 years,Master's degree,Woman,White
18812,35-44,Recruitment or HR,Benefits & Compensation Manager,80000,United states,Lenexa,11 - 20 years,11 - 20 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
18813,45-54,Entertainment,Music Librarian,12000,United states,Annapolis ,21 - 30 years,21 - 30 years,Master's degree,Woman,White
18814,25-34,Computing or Tech,Senior Operations Engineer,144000,United states,Chicago,5-7 years,5-7 years,College degree,Man,Asian or Asian American
18815,25-34,Law,Executive Legal Secretary ,60000,United states,Columbus,5-7 years,5-7 years,College degree,Woman,White
18816,25-34,Computing or Tech,DevOps Engineer,100000,United states,North Hempstead,5-7 years,2 - 4 years,College degree,Woman,White
18817,25-34,Insurance,Senior Underwriter,145860,Germany,Munich,8 - 10 years,8 - 10 years,Master's degree,Man,White
18818,45-54,Insurance,HRIS Consultant,102000,United states,Madison,5-7 years,5-7 years,Master's degree,Man,White
18819,25-34,Computing or Tech,Software Engineer ,133000,United states,Boulder,8 - 10 years,2 - 4 years,Master's degree,Man,White
18820,25-34,Media & Digital,Principal Engineer,105200,United kingdom,London,11 - 20 years,11 - 20 years,Some college,Man,White
18821,25-34,"Accounting, Banking & Finance",Asst Vice President/ loan officer ,65000,United states,Platte City,11 - 20 years,11 - 20 years,High School,Woman,White
18822,35-44,Recruitment or HR,Director HR,100000,United states,Baltimore ,11 - 20 years,11 - 20 years,Master's degree,Woman,Another option not listed here or prefer not to answer
18823,25-34,Education (Higher Education),Academic Librarian,56,Germany,Düsseldorf,2 - 4 years,2 - 4 years,College degree,Woman,White
18824,35-44,Law,HR Manager,110000,United states,Cleveland,11 - 20 years,11 - 20 years,Master's degree,Woman,White
18825,35-44,"Accounting, Banking & Finance",Human Resources Manager,89015,United states,Cleveland,11 - 20 years,11 - 20 years,College degree,Woman,White
18826,35-44,Computing or Tech,Director of Engineering,90000,United states,Boston,11 - 20 years,11 - 20 years,Some college,Man,White
18827,25-34,Education (Higher Education),Librarian Department Head,85000,United states,Houston,11 - 20 years,5-7 years,Master's degree,Man,White
18828,25-34,Computing or Tech,Software Consultant & Engineering Manager,120000,United states,Brookfield,8 - 10 years,8 - 10 years,College degree,Man,White
18829,25-34,Service,Bartender,70000,United states,"Washington, DC",11 - 20 years,8 - 10 years,Some college,Woman,Black or African American
18830,18-24,"Marketing, Advertising & PR",Digital Marketing Specialist,48000,United states,East Windsor,1 year or less,1 year or less,College degree,Woman,White
18831,35-44,Computing or Tech,Senior Support Specialist,51000,United states,Augusta,8 - 10 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
18832,18-24,Nonprofits,Operations Manager,50000,United states,Laramie,2 - 4 years,2 - 4 years,College degree,Man,White
18833,25-34,Nonprofits,Archivist,37000,United states,Dearborn,5-7 years,2 - 4 years,Master's degree,Woman,White
18834,25-34,Computing or Tech,Engineering Manager,170000,United states,New York,8 - 10 years,8 - 10 years,College degree,Man,White
18835,65 or over,Education (Higher Education),Professor,100000,United states,Sacramento,31 - 40 years,31 - 40 years,PhD,Woman,White
18836,25-34,"Marketing, Advertising & PR",Web & Content Specialist,28050,Ireland,Rural Ireland,2 - 4 years,2 - 4 years,Master's degree,Woman,White
18837,25-34,Veterinary m&a,Operations Coordinator,49000,United states,San antonio,8 - 10 years,5-7 years,College degree,Woman,White
18838,25-34,Education (Higher Education),Senior Information Librarian,46025,United kingdom,Oxford,11 - 20 years,8 - 10 years,Master's degree,Woman,White
18839,35-44,Computing or Tech,program manager,111358,Ireland,Dublin,11 - 20 years,5-7 years,College degree,Woman,White
18840,25-34,Education (Higher Education),Strategic Projects Manager,35110,United kingdom,Cambridge,2 - 4 years,2 - 4 years,PhD,Woman,White
18841,25-34,Government and Public Administration,Records and Information Coordinator,66412,United kingdom,Edmonton,8 - 10 years,8 - 10 years,Master's degree,Woman,White
18842,35-44,Education (Higher Education),Research Associate,79000,United states,City,5-7 years,2 - 4 years,PhD,Woman,Another option not listed here or prefer not to answer
18843,45-54,Computing or Tech,Principal software engineer,180000,United states,"Bellevue, wa, usa",21 - 30 years,21 - 30 years,College degree,Man,White
18844,35-44,Recruitment or HR,Human Resources Generalist ,68473,United states,Texas City ,8 - 10 years,8 - 10 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
18845,35-44,Oil and gas,Health and Safety Advisor,93125,United kingdom,Calgary,11 - 20 years,8 - 10 years,College degree,Man,White
18846,35-44,Manufacturing,Human Resources Business Partner,85000,United states,Salt Lake City,11 - 20 years,5-7 years,College degree,Woman,White
18847,25-34,Engineering or Manufacturing,Senior Financial Operations Analyst,86000,United states,Allentown,8 - 10 years,5-7 years,Master's degree,Man,White
18848,35-44,Computing or Tech,Site Reliability Engineer,201960,Ireland,Dublin,21 - 30 years,11 - 20 years,High School,Man,Asian or Asian American
18849,35-44,Nonprofits,Philanthropy Operations Manager,80000,United states,New York City,11 - 20 years,2 - 4 years,College degree,Woman,White
18850,25-34,"Language Services company, unsure the broad category to use. Our clients are branding agencies, and their clients are frequently (but not always) pharmaceutical companies.",Senior Project Manager,70000,United states,Winston-Salem,5-7 years,5-7 years,Master's degree,Other or prefer not to answer,White
18851,35-44,Computing or Tech,Web Developer,81000,United states,Baltimore,11 - 20 years,8 - 10 years,College degree,Man,White
18852,35-44,Government and Public Administration,IT analyst/developer,69451,United kingdom,Ottawa,11 - 20 years,11 - 20 years,College degree,Woman,White
18853,35-44,Retail,Sr. Product manager,140000,United states,Charlotte,11 - 20 years,8 - 10 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
18854,25-34,Computing or Tech,Information Security Engineer 1,75000,United states,Little Rock,5-7 years,2 - 4 years,Master's degree,Man,White
18855,25-34,Computing or Tech,Release Manager,53915,United kingdom,Belfast,5-7 years,2 - 4 years,College degree,Man,White
18856,35-44,Computing or Tech,DevOps Engineer,38526,China,Beijing,11 - 20 years,8 - 10 years,College degree,Man,Asian or Asian American
18857,55-64,"Marketing, Advertising & PR",Director,75000,United states,Louisville,21 - 30 years,21 - 30 years,Some college,Woman,White
18858,25-34,Computing or Tech,Customer Success Coordinator ,60000,United states,Columbus ,2 - 4 years,2 - 4 years,College degree,Woman,White
18859,25-34,Engineering or Manufacturing,Operations Analyst,64000,United states,Fox Valley,8 - 10 years,5-7 years,College degree,Woman,White
18860,35-44,Computing or Tech,Software engineer,162500,United states,Everett,8 - 10 years,8 - 10 years,Master's degree,Man,White
18861,25-34,Nonprofits,Financial Data Specialist,55000,United states,Minneapolis,8 - 10 years,5-7 years,College degree,Man,White
18862,35-44,Insurance,Senior Research Analyst,6209,United states,"Washington, DC",11 - 20 years,5-7 years,Master's degree,Woman,White
18863,25-34,Public Library,Public Services Librarian,36000,United states,Prefer not to respond,8 - 10 years,8 - 10 years,Master's degree,Man,White
18864,25-34,Government and Public Administration,Project Coordinator,69000,United states,Austin,8 - 10 years,2 - 4 years,Master's degree,Man,White
18865,18-24,Nonprofits,Digital Strategist,56000,United states,Washington,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
18866,18-24,"Marketing, Advertising & PR",Account Manager,64000,United states,Remote - previously NYC,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
18867,25-34,Computing or Tech,Senior Product Manager,65750,United kingdom,Cardiff,11 - 20 years,8 - 10 years,College degree,Woman,White
18868,25-34,Property or Construction,Marketing Automation Manager,90000,United states,Chicago,8 - 10 years,8 - 10 years,Master's degree,Non-binary,White
18869,25-34,Education (Higher Education),Doctoral college training coordinator,38366,United kingdom,Bath,5-7 years,2 - 4 years,Master's degree,Woman,White
18870,35-44,Nonprofits,Sr Manager Institutional Giving,75000,United states,Sf,11 - 20 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
18871,35-44,Computing or Tech,Director of Marketing,165000,United states,Cambridge,11 - 20 years,11 - 20 years,Master's degree,Woman,White
18872,35-44,Nonprofits,Director of Development ,80000,United states,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White
18873,35-44,Computing or Tech,Creative Director ,190000,United states,Austin,11 - 20 years,8 - 10 years,Master's degree,Woman,White
18874,45-54,Nonprofits,Director congregational engagement and support ,130000,United states,Denver,21 - 30 years,21 - 30 years,Master's degree,Woman,White
18875,35-44,Health care,Administrative Coordinator ,56160,United states,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White
18876,25-34,Computing or Tech,Cyber Security Analyst,39450,United kingdom,Edinburgh,2 - 4 years,2 - 4 years,College degree,Man,White
18877,35-44,Procurement ,Senior Procurement Advisor,80640,New zealand,Wellington,5-7 years,5-7 years,Master's degree,Woman,White
18878,35-44,Government and Public Administration,Administrator ,50490,Ireland,Dubli ,11 - 20 years,11 - 20 years,Master's degree,Woman,White
18879,45-54,Education (Higher Education),Program Assistant 3,45437,United states,Ames,11 - 20 years,11 - 20 years,College degree,Woman,White
18880,35-44,Government and Public Administration,Strategic Investment Planner,81205,United kingdom,Winnipeg,11 - 20 years,11 - 20 years,College degree,Woman,White
18881,25-34,Entertainment,Graphics Programmer,74955,United kingdom,London,5-7 years,5-7 years,Master's degree,Man,White
18882,35-44,Computing or Tech,"Senior Director, Web and Digital",280000,United states,San Francisco,11 - 20 years,11 - 20 years,Master's degree,Man,Asian or Asian American
18883,35-44,Engineering or Manufacturing,Human Resources Manager,102000,United states,St. Marys,11 - 20 years,11 - 20 years,College degree,Man,White
18884,25-34,Computing or Tech,Software QA Analyst,92000,United states,Chicago,5-7 years,5-7 years,College degree,Man,Asian or Asian American
18885,35-44,Computing or Tech,Community Manager,65000,United states,Troy,5-7 years,2 - 4 years,College degree,Woman,White
18886,35-44,Recruitment or HR,HR Business Partner ,79000,United states,Frisco,11 - 20 years,11 - 20 years,High School,Woman,"Hispanic, Latino, or Spanish origin"
18887,25-34,Government and Public Administration,Environmental health scientist,72000,United states,Philadelphia,5-7 years,5-7 years,College degree,Woman,White
18888,45-54,Engineering or Manufacturing,Executive Assistant,55000,United states,Houston,21 - 30 years,21 - 30 years,College degree,Woman,White
18889,25-34,"Accounting, Banking & Finance",People Operations Manager,95000,United states,New York,11 - 20 years,2 - 4 years,College degree,Woman,White
18890,35-44,Engineering or Manufacturing,Human Resources Manager,102000,United states,St. Marys,11 - 20 years,11 - 20 years,College degree,Man,White
18891,35-44,Law,Partner,189000,United states,Lafayette,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,White
18892,25-34,Retail,All Purpose Food Clerk,40000,United states,Colorado Springs,11 - 20 years,11 - 20 years,High School,Man,White
18893,35-44,Retail,AGM,90000,United states,Cleveland,11 - 20 years,11 - 20 years,Some college,Woman,Another option not listed here or prefer not to answer
18894,18-24,Engineering or Manufacturing,Transportation Engineer II,79000,United states,New York,2 - 4 years,2 - 4 years,College degree,Non-binary,White
18895,25-34,Business or Consulting,Construction Administration,58000,United states,Dallas,5-7 years,1 year or less,High School,Man,White
18896,25-34,Recruitment or HR,Human Resource Manager,68000,United states,Waco,5-7 years,5-7 years,Master's degree,Woman,White
18897,25-34,"Marketing, Advertising & PR",Digital Marketing Manager,85000,United states,Cleveland,8 - 10 years,5-7 years,College degree,Woman,White
18898,25-34,Computing or Tech,SWE,250000,United states,NYC,2 - 4 years,2 - 4 years,College degree,Woman,Black or African American
18899,25-34,Health care,Associate General Counsel,235000,United states,Falls Church,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
18900,55-64,Entertainment,Director Human Resources,111300,United states,Bloomington ,31 - 40 years,31 - 40 years,Some college,Woman,White
18901,55-64,Nonprofits,For of HR,97000,United states,Missoula ,21 - 30 years,21 - 30 years,Master's degree,Woman,White
18902,25-34,Computing or Tech,International Partner Marketing Manager,80000,United states,Boston,2 - 4 years,2 - 4 years,College degree,Woman,White
18903,25-34,Computing or Tech,"Team manger, user services",100000,United states,Boston,8 - 10 years,5-7 years,College degree,Woman,White
18904,35-44,International Development,Project Manager,101900,United states,Burlington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
18905,25-34,Education (Primary/Secondary),Math Teacher,49097,United states,Columbus,2 - 4 years,2 - 4 years,Master's degree,Woman,White
18906,35-44,Health care,Staff RN,68000,United states,Marietta,11 - 20 years,2 - 4 years,College degree,Woman,White
18907,25-34,Computing or Tech,Software Engineer,100000,United states,Madison ,2 - 4 years,2 - 4 years,College degree,Man,White
18908,55-64,Utilities & Telecommunications,Employee Development and Training Coordinator,78000,United states,Columbus,31 - 40 years,2 - 4 years,College degree,Woman,White
18909,25-34,Insurance,HR ADMINISTRATOR ,45000,United states,Birmingham ,2 - 4 years,2 - 4 years,College degree,Woman,White
18910,25-34,Property or Construction,New Agent Development Coordinator,41600,United states,Holland,5-7 years,2 - 4 years,College degree,Woman,White
18911,25-34,"Accounting, Banking & Finance",Technical Support Engineer,54000,United states,Richmond,2 - 4 years,2 - 4 years,Some college,Woman,Black or African American
18912,35-44,Agriculture or Forestry,Director of software engineering,210000,United states,Boston,11 - 20 years,11 - 20 years,College degree,Man,White
18913,25-34,"Leisure, Sport & Tourism",Professional Horse Trainer,41600,United states,Rockford,5-7 years,2 - 4 years,College degree,Woman,White
18914,25-34,Engineering or Manufacturing,Software engineer,180000,United states,San Francisco,11 - 20 years,5-7 years,College degree,Woman,Asian or Asian American
